Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),PLENUM-1:Zone Mean Air Temperature [C](TimeStep),SPACE1-1:Zone Mean Air Temperature [C](TimeStep),SPACE2-1:Zone Mean Air Temperature [C](TimeStep),SPACE3-1:Zone Mean Air Temperature [C](TimeStep),SPACE4-1:Zone Mean Air Temperature [C](TimeStep),SPACE5-1:Zone Mean Air Temperature [C](TimeStep),PLENUM-1:Zone Air Relative Humidity [%](TimeStep),PLENUM-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Air Relative Humidity [%](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Air Relative Humidity [%](TimeStep),SPACE2-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Air Relative Humidity [%](TimeStep),SPACE3-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Air Relative Humidity [%](TimeStep),SPACE4-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Air Relative Humidity [%](TimeStep),SPACE5-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),OCCUPY-1:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Fans:Electricity [J](TimeStep) 
 07/12  23:45:00,22.474999999999998,24.10524810343893,21.956278871525434,21.930409834295727,21.92407675315979,21.993524658188615,21.82970291494693,51.07060366341286,0.0,0.0,56.29367983656843,18.0,27.0,53.732638269202646,18.0,27.0,56.66675976456301,18.0,27.0,53.34886203812037,18.0,27.0,62.47077925061602,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/12  24:00:00,22.2,23.978792743629143,21.888052688885224,21.868121295281334,21.85437816474127,21.922919452639327,21.783317024004383,51.459899161750954,0.0,0.0,56.52858285315392,18.0,27.0,53.93733772605906,18.0,27.0,56.908391672406324,18.0,27.0,53.57919065166722,18.0,27.0,62.648047662668006,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/13  00:15:00,21.924999999999997,23.859036565547918,21.93637699047153,21.913514739108304,21.901818656004227,21.96109287573175,21.88046768373392,51.84482459229489,0.0,0.0,56.37640763913896,18.0,27.0,53.80174028657808,18.0,27.0,56.758213608217524,18.0,27.0,53.468105406512436,18.0,27.0,62.29324192336443,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  00:30:00,21.65,23.745113302739917,21.972686844423308,21.942794959634202,21.93762469665324,21.984091883692756,21.983499463486,52.21463940836316,0.0,0.0,56.26592616861898,18.0,27.0,53.71932208545051,18.0,27.0,56.6486946343221,18.0,27.0,53.406692321028245,18.0,27.0,61.91849955709904,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  00:45:00,21.375,23.63558180003011,21.959387224637478,21.92642482292808,21.92377741291966,21.962262555547508,22.029746460233092,52.57348953684991,0.0,0.0,56.32590249096933,18.0,27.0,53.78667345023218,18.0,27.0,56.71098604103977,18.0,27.0,53.49144788045893,18.0,27.0,61.75976310140875,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  01:00:00,21.1,23.529390989375507,21.92050879966666,21.88960974165407,21.884168706940994,21.920710054146937,22.025336897665948,52.92443456478142,0.0,0.0,56.47403214695572,18.0,27.0,53.921363619370034,18.0,27.0,56.86269796947876,18.0,27.0,53.64087453770344,18.0,27.0,61.79205758684172,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  01:15:00,20.825000000000003,23.424802069474758,21.87782732812566,21.85133972571933,21.841232369308962,21.87833165618463,22.00711817260744,53.25932806102943,0.0,0.0,56.621366378682026,18.0,27.0,54.04750855501453,18.0,27.0,57.01197422815445,18.0,27.0,53.77982137437122,18.0,27.0,61.8607573644657,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  01:30:00,20.55,23.32117689068086,21.836070945891585,21.81410321391509,21.799769121258972,21.83753173106878,21.988914782980956,53.593493958222936,0.0,0.0,56.76592624526563,18.0,27.0,54.170564923953954,18.0,27.0,57.15655001183205,18.0,27.0,53.91397626102847,18.0,27.0,61.92948189071655,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  01:45:00,20.275,23.218670826236387,21.793367841558776,21.775579955094667,21.75767731735479,21.795917314444992,21.970713973926543,53.92637834988028,0.0,0.0,56.91419115550001,18.0,27.0,54.29820809450349,18.0,27.0,57.30373610971251,18.0,27.0,54.051197334626465,18.0,27.0,61.99828516896392,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  02:00:00,20.0,23.117391418043027,21.748581701031213,21.734898413557527,21.713650403720347,21.752554443898457,21.950886519735107,54.25756636430088,0.0,0.0,57.07015955993546,18.0,27.0,54.433369766651055,18.0,27.0,57.45814865676198,18.0,27.0,54.194601049138356,18.0,27.0,62.07333670323306,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  02:15:00,19.725,23.017221848205416,21.701724632674093,21.692379472427923,21.66767552092108,21.70770837268229,21.929266937187666,54.60123456646776,0.0,0.0,57.24837981031661,18.0,27.0,54.5888904289903,18.0,27.0,57.634515592603904,18.0,27.0,54.35715247113261,18.0,27.0,62.17105949803805,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  02:30:00,19.45,22.91799295501782,21.65335597366288,21.64853458830095,21.620299041663955,21.66184372029823,21.906356734526582,54.94420203535893,0.0,0.0,57.43252139758369,18.0,27.0,54.74934032250134,18.0,27.0,57.81643581887529,18.0,27.0,54.52363873518033,18.0,27.0,62.273857667705315,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  02:45:00,19.174999999999997,22.81957067752425,21.603907951325507,21.603650100998284,21.571929566276253,21.615206507963737,21.882578166482574,55.28686886388455,0.0,0.0,57.62112073549426,18.0,27.0,54.913797124409456,18.0,27.0,58.002511645960965,18.0,27.0,54.69327013289126,18.0,27.0,62.38013856289525,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  03:00:00,18.9,22.721843915920676,21.553593673150218,21.557861734199427,21.52275772946641,21.567897140721573,21.858158115487345,55.629573294105505,0.0,0.0,57.81346627178312,18.0,27.0,55.081847611665204,18.0,27.0,58.19210392627886,18.0,27.0,54.86573620085752,18.0,27.0,62.489062421378485,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  03:15:00,18.75,22.62484449579788,21.505907016519245,21.513597077817725,21.475872586996967,21.52231271986245,21.833234700423397,55.95798950795172,0.0,0.0,57.98249020815107,18.0,27.0,55.23130445135943,18.0,27.0,58.359408577779526,18.0,27.0,55.019040792458675,18.0,27.0,62.5842505591727,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  03:30:00,18.6,22.528577660580204,21.46089144054092,21.47087290500829,21.43133767518216,21.478443174246625,21.807949389364982,56.286083210883575,0.0,0.0,58.14255329888708,18.0,27.0,55.375990785917686,18.0,27.0,58.518826210316355,18.0,27.0,55.167030919914616,18.0,27.0,62.68098226652414,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  03:45:00,18.450000000000003,22.43313091786072,21.417330338592667,21.428953995562114,21.388103720164562,21.43552999685869,21.78245041182474,56.613522045206075,0.0,0.0,58.297918728032585,18.0,27.0,55.51836928692079,18.0,27.0,58.674056447432456,18.0,27.0,55.312231091477585,18.0,27.0,62.778705376184554,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/13  04:00:00,18.3,22.338700619410258,21.374563551455434,21.387543380158174,21.345606121321733,21.393256159487866,21.756876151388084,56.939585743456334,0.0,0.0,58.450905515456455,18.0,27.0,55.65942278192345,18.0,27.0,58.82709507529178,18.0,27.0,55.4556900219138,18.0,27.0,62.8768858644863,18.0,27.0,0.0,1237500.0,0.0,0.0 
