Date/Time,Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Fans:Electricity [J](TimeStep) 
 07/03  04:45:00,427500.0,0.0,0.0 
 07/03  05:00:00,427500.0,0.0,0.0 
 07/03  05:15:00,427500.0,0.0,0.0 
 07/03  05:30:00,427500.0,0.0,0.0 
 07/03  05:45:00,427500.0,0.0,0.0 
 07/03  06:00:00,427500.0,0.0,0.0 
 07/03  06:15:00,1513854.5161613536,606212.8345554287,338740.06447950774 
 07/03  06:30:00,1526427.2490727603,616926.1880534021,338740.06447950774 
 07/03  06:45:00,1553003.7834678967,644150.8397635028,338740.06447950774 
 07/03  07:00:00,1582526.5750559135,673523.6325048534,338740.06447950774 
 07/03  07:15:00,1600078.7878387151,691726.6752297846,338740.06447950774 
 07/03  07:30:00,1617046.1569894308,708112.1882209808,338740.06447950774 
 07/03  07:45:00,1635174.5782833435,724794.4865471582,338740.06447950774 
 07/03  08:00:00,1653574.4057272132,741470.0054294369,338740.06447950774 
 07/03  08:15:00,9130063.554241316,765238.6054071399,338740.06447950774 
 07/03  08:30:00,9168306.513008257,791493.7431875778,339022.52423743455 
 07/03  08:45:00,9218373.034111504,831659.5986659524,341619.8263019582 
 07/03  09:00:00,9276101.893710852,876254.9370534825,342979.3309243074 
 07/03  09:15:00,12004146.288836507,995786.2380703371,352144.7996744092 
 07/03  09:30:00,12097491.289650556,1072901.1458345337,354981.9158141004 
 07/03  09:45:00,12170478.053497795,1130704.8871040263,356103.5487829385 
 07/03  10:00:00,12235412.679006957,1181028.9318814888,357020.58161502634 
 07/03  10:15:00,12682830.281894475,1270173.7182911679,360386.3814387361 
 07/03  10:30:00,12835256.536113998,1398905.4414467635,366446.4962361638 
 07/03  10:45:00,12999892.386458665,1534746.3583211226,372831.8265492568 
 07/03  11:00:00,13158909.643223397,1658295.1655698703,377738.86161014694 
 07/03  11:15:00,12769089.059831731,1611609.4972394733,370737.5541603767 
 07/03  11:30:00,12800239.22860295,1642953.1903734328,372824.95204834425 
 07/03  11:45:00,12820488.633720469,1667523.5982077697,373347.6098501762 
 07/03  12:00:00,12847445.64195753,1695609.112191475,373812.69710447296 
 07/03  12:15:00,11651481.249309696,1528735.8180730634,357316.8278770285 
 07/03  12:30:00,11637281.482710386,1518559.8797037397,356210.40329767 
 07/03  12:45:00,11658760.341743508,1543334.6363613834,356330.4287597219 
 07/03  13:00:00,11727018.277001454,1613912.6275371674,357072.06450624386 
 07/03  13:15:00,12676415.545291396,1872416.1258171704,373873.54885359266 
 07/03  13:30:00,12713761.404573882,1907658.3173302277,376884.1262368569 
 07/03  13:45:00,12708579.16257002,1902537.756705493,377726.7204827494 
 07/03  14:00:00,12725365.282562293,1918371.5247532944,379581.33988279966 
 07/03  14:15:00,13087126.702138754,2049855.2240508257,386219.1350395518 
 07/03  14:30:00,13181684.234978871,2142669.3929325314,389252.864059868 
 07/03  14:45:00,13284815.584062574,2237291.3478882266,392319.571981598 
 07/03  15:00:00,13374293.390892321,2320711.1440687138,395152.20602282474 
 07/03  15:15:00,12839447.272649458,2242791.888977989,388226.212684208 
 07/03  15:30:00,12856353.579746319,2258490.6317813476,389433.6013156759 
 07/03  15:45:00,12868192.136742404,2269958.8914629836,389803.7704388564 
 07/03  16:00:00,12873775.596692402,2275377.81952124,389968.24179727084 
 07/03  16:15:00,11779472.85160614,2092878.0949179817,376407.93483385496 
 07/03  16:30:00,11766137.810089452,2078721.2692613069,375521.25724696764 
 07/03  16:45:00,11755518.170125674,2068086.0464865987,373823.6796670227 
 07/03  17:00:00,11731992.045423713,2045152.6710793695,371512.12754266924 
 07/03  17:15:00,11705839.898440467,2019570.3507259337,368826.8341578266 
 07/03  17:30:00,11671658.232063036,1986244.7147336402,365833.84385023365 
 07/03  17:45:00,11627962.705752904,1943711.8302185922,362519.67177005403 
 07/03  18:00:00,11576469.983545093,1893571.9856981724,359000.5896843677 
 07/03  18:15:00,7550533.137707221,1487301.66651048,340529.804488756 
 07/03  18:30:00,7457212.186827637,1396795.6712444895,339009.71147302707 
 07/03  18:45:00,7430408.753463465,1371634.1368135556,338740.06447950774 
 07/03  19:00:00,7412104.4727527695,1354777.8304339994,338740.06447950774 
 07/03  19:15:00,4697033.624080094,1340413.6892269226,338740.06447950774 
 07/03  19:30:00,4680206.614696031,1324394.717211051,338740.06447950774 
 07/03  19:45:00,4665538.419296487,1310632.686513654,338740.06447950774 
 07/03  20:00:00,4650308.65358277,1296404.4847714254,338740.06447950774 
 07/03  20:15:00,1440000.0,0.0,0.0 
 07/03  20:30:00,1440000.0,0.0,0.0 
 07/03  20:45:00,1440000.0,0.0,0.0 
 07/03  21:00:00,1440000.0,0.0,0.0 
 07/03  21:15:00,427500.0,0.0,0.0 
 07/03  21:30:00,427500.0,0.0,0.0 
 07/03  21:45:00,427500.0,0.0,0.0 
 07/03  22:00:00,427500.0,0.0,0.0 
 07/03  22:15:00,427500.0,0.0,0.0 
 07/03  22:30:00,427500.0,0.0,0.0 
 07/03  22:45:00,427500.0,0.0,0.0 
 07/03  23:00:00,427500.0,0.0,0.0 
 07/03  23:15:00,427500.0,0.0,0.0 
 07/03  23:30:00,427500.0,0.0,0.0 
 07/03  23:45:00,427500.0,0.0,0.0 
 07/03  24:00:00,427500.0,0.0,0.0 
 07/04  00:15:00,427500.0,0.0,0.0 
 07/04  00:30:00,427500.0,0.0,0.0 
 07/04  00:45:00,427500.0,0.0,0.0 
 07/04  01:00:00,427500.0,0.0,0.0 
 07/04  01:15:00,427500.0,0.0,0.0 
 07/04  01:30:00,427500.0,0.0,0.0 
 07/04  01:45:00,427500.0,0.0,0.0 
 07/04  02:00:00,427500.0,0.0,0.0 
 07/04  02:15:00,427500.0,0.0,0.0 
 07/04  02:30:00,427500.0,0.0,0.0 
 07/04  02:45:00,427500.0,0.0,0.0 
 07/04  03:00:00,427500.0,0.0,0.0 
 07/04  03:15:00,427500.0,0.0,0.0 
 07/04  03:30:00,427500.0,0.0,0.0 
 07/04  03:45:00,427500.0,0.0,0.0 
 07/04  04:00:00,427500.0,0.0,0.0 
 07/04  04:15:00,427500.0,0.0,0.0 
 07/04  04:30:00,427500.0,0.0,0.0 
 07/04  04:45:00,427500.0,0.0,0.0 
 07/04  05:00:00,427500.0,0.0,0.0 
 07/04  05:15:00,427500.0,0.0,0.0 
 07/04  05:30:00,427500.0,0.0,0.0 
 07/04  05:45:00,427500.0,0.0,0.0 
 07/04  06:00:00,427500.0,0.0,0.0 
 07/04  06:15:00,2286736.54557115,1270731.4701524423,338740.06447950774 
 07/04  06:30:00,2390719.824486879,1369292.6670479216,338740.06447950774 
 07/04  06:45:00,2470834.202363376,1441830.4733285129,338740.06447950774 
 07/04  07:00:00,2546608.3442304446,1512015.3472606384,338740.06447950774 
 07/04  07:15:00,2580470.277964751,1544234.1799705932,338740.06447950774 
 07/04  07:30:00,2611647.3793735206,1573963.290459541,338740.06447950774 
 07/04  07:45:00,2644199.890694528,1604451.83498308,338740.06447950774 
 07/04  08:00:00,2677023.056756967,1634932.0016595754,338740.06447950774 
 07/04  08:15:00,10226038.171296813,1725001.3612150247,338740.06447950774 
 07/04  08:30:00,10349113.575561149,1826837.1324665495,338740.06447950774 
 07/04  08:45:00,10465760.888426393,1922224.6971764145,338740.06447950774 
 07/04  09:00:00,10637015.17018639,2072311.7963331575,343060.3760796252 
 07/04  09:15:00,13463011.341046585,2289788.8616242986,354269.288913948 
 07/04  09:30:00,13598711.36915537,2406516.398320402,357263.45343798166 
 07/04  09:45:00,13737741.69983026,2527630.446345653,358845.3763772191 
 07/04  10:00:00,13939725.424882708,2709418.2552233636,363338.2745431592 
 07/04  10:15:00,14478224.41011276,2892019.397745963,371240.6730158686 
 07/04  10:30:00,14611857.980099875,3012041.6006363304,374641.10175147024 
 07/04  10:45:00,14744550.3417486,3134435.4065329316,379704.5461927011 
 07/04  11:00:00,14879570.74515477,3257196.497190084,384450.9303799372 
 07/04  11:15:00,14493421.853841297,3207290.422587988,377494.5920545504 
 07/04  11:30:00,14584571.149790538,3288062.3331489153,379921.41416425485 
 07/04  11:45:00,14633859.632282281,3333497.0664472627,380301.290410827 
 07/04  12:00:00,14673741.249979129,3369879.404886687,380297.9990407669 
 07/04  12:15:00,13407128.28109967,3126476.7819167543,362122.19435590244 
 07/04  12:30:00,14186069.466776988,3850408.126339757,409720.1939368055 
 07/04  12:45:00,13730245.899940653,3426133.6411297154,370971.64417106326 
 07/04  13:00:00,14106301.444035323,3778375.3006907827,387807.2973367936 
 07/04  13:15:00,15158126.95016292,4127338.775326506,413036.834987579 
 07/04  13:30:00,15224025.644180186,4192555.685867581,417814.089806087 
 07/04  13:45:00,15284721.241187455,4250132.397344807,420819.78160646075 
 07/04  14:00:00,15368466.648183277,4327976.889460955,424180.72589891794 
 07/04  14:15:00,15776371.28412979,4497474.328618631,436679.3853400838 
 07/04  14:30:00,15889378.863463936,4603290.071237985,443189.22786923806 
 07/04  14:45:00,15980988.602773912,4688702.406657834,448465.9163302968 
 07/04  15:00:00,16061543.923397465,4764219.496995215,453092.21730792866 
 07/04  15:15:00,15504721.104411747,4666946.278412218,441939.6126312635 
 07/04  15:30:00,15540956.234661466,4698737.373111174,444532.6952777858 
 07/04  15:45:00,15578225.258469464,4732513.268269249,446937.0562255846 
 07/04  16:00:00,15606064.535919558,4757913.112261554,448669.91999453126 
 07/04  16:15:00,14365842.401918488,4445252.497057896,421882.8813216286 
 07/04  16:30:00,13502376.913237171,3633999.4912463976,370758.730620501 
 07/04  16:45:00,13883030.35121079,3995510.596263767,391012.66762783704 
 07/04  17:00:00,13617835.155251216,3745950.9589453787,376528.29616825294 
 07/04  17:15:00,13623774.277487246,3750821.291895105,376109.09639275394 
 07/04  17:30:00,13574495.47465622,3703555.021176051,372830.8954251378 
 07/04  17:45:00,13501231.98523434,3633162.7296323865,368918.71043648565 
 07/04  18:00:00,13410078.314323623,3545484.400199437,364622.4930747703 
 07/04  18:15:00,9169762.959865961,2931160.4902829826,340187.7549956909 
 07/04  18:30:00,9064890.685969032,2829315.8860508744,338740.06447950774 
 07/04  18:45:00,9040528.777690494,2806559.840498045,338740.06447950774 
 07/04  19:00:00,9019919.143327488,2787582.183201777,338740.06447950774 
 07/04  19:15:00,6326850.92569759,2792591.0767888045,338740.06447950774 
 07/04  19:30:00,6330854.001116209,2794728.7907062043,338740.06447950774 
 07/04  19:45:00,6337625.61850864,2799701.1289328444,338740.06447950774 
 07/04  20:00:00,6343945.079405254,2804287.0673533794,338740.06447950774 
 07/04  20:15:00,1440000.0,0.0,0.0 
 07/04  20:30:00,1440000.0,0.0,0.0 
 07/04  20:45:00,1440000.0,0.0,0.0 
 07/04  21:00:00,1440000.0,0.0,0.0 
 07/04  21:15:00,427500.0,0.0,0.0 
 07/04  21:30:00,427500.0,0.0,0.0 
 07/04  21:45:00,427500.0,0.0,0.0 
 07/04  22:00:00,427500.0,0.0,0.0 
 07/04  22:15:00,427500.0,0.0,0.0 
 07/04  22:30:00,427500.0,0.0,0.0 
 07/04  22:45:00,427500.0,0.0,0.0 
 07/04  23:00:00,427500.0,0.0,0.0 
 07/04  23:15:00,427500.0,0.0,0.0 
 07/04  23:30:00,427500.0,0.0,0.0 
 07/04  23:45:00,427500.0,0.0,0.0 
 07/04  24:00:00,427500.0,0.0,0.0 
 07/05  00:15:00,427500.0,0.0,0.0 
 07/05  00:30:00,427500.0,0.0,0.0 
 07/05  00:45:00,427500.0,0.0,0.0 
 07/05  01:00:00,427500.0,0.0,0.0 
 07/05  01:15:00,427500.0,0.0,0.0 
 07/05  01:30:00,427500.0,0.0,0.0 
 07/05  01:45:00,427500.0,0.0,0.0 
 07/05  02:00:00,427500.0,0.0,0.0 
 07/05  02:15:00,427500.0,0.0,0.0 
 07/05  02:30:00,427500.0,0.0,0.0 
 07/05  02:45:00,427500.0,0.0,0.0 
 07/05  03:00:00,427500.0,0.0,0.0 
 07/05  03:15:00,427500.0,0.0,0.0 
