step,day,minute_of_day,zone,zone_temp_c,radiant_temp_c,rh_pct,setpoint_c,occupied,pmv,ppd,comfort_enforced
48,1,735,SPACE2-1,23.807,24.16,15.88,nan,True,0.305,6.93,False
48,1,735,SPACE3-1,22.202,21.152,21.34,nan,True,-0.137,5.39,False
48,1,735,SPACE4-1,22.2,21.345,16.73,nan,True,-0.145,5.44,False
48,1,735,SPACE5-1,23.35,22.293,25.51,nan,True,0.128,5.34,False
49,1,758,SPACE1-1,22.805,22.577,19.93,nan,True,0.062,5.08,False
49,1,758,SPACE2-1,23.421,23.815,15.93,nan,True,0.229,6.09,False
49,1,758,SPACE3-1,22.201,21.134,20.64,nan,True,-0.143,5.42,False
49,1,758,SPACE4-1,22.201,21.333,16.19,nan,True,-0.15,5.46,False
49,1,758,SPACE5-1,23.192,22.27,25.16,nan,True,0.106,5.23,False
50,1,772,SPACE1-1,22.559,22.381,19.41,nan,True,0.013,5.0,False
50,1,772,SPACE2-1,23.002,23.411,15.75,nan,True,0.142,5.42,False
50,1,772,SPACE3-1,22.201,21.141,19.84,nan,True,-0.147,5.45,False
50,1,772,SPACE4-1,22.199,21.341,15.71,nan,True,-0.152,5.48,False
50,1,772,SPACE5-1,23.05,22.225,24.4,nan,True,0.081,5.14,False
51,1,788,SPACE1-1,22.441,22.279,18.98,nan,True,-0.012,5.0,False
51,1,788,SPACE2-1,22.715,23.081,15.75,nan,True,0.078,5.13,False
51,1,788,SPACE3-1,22.201,21.151,19.31,nan,True,-0.149,5.46,False
51,1,788,SPACE4-1,22.2,21.351,15.56,nan,True,-0.152,5.48,False
51,1,788,SPACE5-1,23.02,22.194,23.71,nan,True,0.071,5.1,False
52,1,795,SPACE1-1,22.368,22.195,18.76,nan,True,-0.03,5.02,False
52,1,795,SPACE2-1,22.465,22.788,15.84,nan,True,0.023,5.01,False
52,1,795,SPACE3-1,22.201,21.16,19.04,nan,True,-0.15,5.47,False
52,1,795,SPACE4-1,22.202,21.36,15.55,nan,True,-0.151,5.47,False
52,1,795,SPACE5-1,23.018,22.179,23.26,nan,True,0.066,5.09,False
53,1,810,SPACE1-1,22.481,22.102,18.99,nan,True,-0.026,5.01,False
53,1,810,SPACE2-1,22.426,22.564,16.43,nan,True,-0.001,5.0,False
53,1,810,SPACE3-1,22.201,21.21,19.42,nan,True,-0.143,5.42,False
53,1,810,SPACE4-1,22.202,21.407,16.18,nan,True,-0.142,5.42,False
53,1,810,SPACE5-1,23.228,22.226,23.16,nan,True,0.093,5.18,False
54,1,825,SPACE1-1,22.568,22.064,19.62,nan,True,-0.016,5.01,False
54,1,825,SPACE2-1,22.376,22.388,17.25,nan,True,-0.019,5.01,False
54,1,825,SPACE3-1,22.201,21.237,20.16,nan,True,-0.136,5.38,False
54,1,825,SPACE4-1,22.203,21.435,16.98,nan,True,-0.135,5.37,False
54,1,825,SPACE5-1,23.428,22.286,23.54,nan,True,0.123,5.31,False
55,1,840,SPACE1-1,22.585,22.041,20.36,nan,True,-0.012,5.0,False
55,1,840,SPACE2-1,22.261,22.216,18.01,nan,True,-0.044,5.04,False
55,1,840,SPACE3-1,22.201,21.243,20.92,nan,True,-0.13,5.35,False
55,1,840,SPACE4-1,22.202,21.439,17.61,nan,True,-0.13,5.35,False
55,1,840,SPACE5-1,23.55,22.35,24.15,nan,True,0.147,5.45,False
56,1,855,SPACE1-1,22.58,22.022,21.01,nan,True,-0.011,5.0,False
56,1,855,SPACE2-1,22.207,22.054,18.51,nan,True,-0.063,5.08,False
56,1,855,SPACE3-1,22.201,21.241,21.56,nan,True,-0.127,5.33,False
