step,day,minute_of_day,zone,zone_temp_c,radiant_temp_c,rh_pct,setpoint_c,occupied,pmv,ppd,comfort_enforced
43,1,668,SPACE5-1,22.896,21.794,23.08,21.0,True,0.013,5.0,False
44,1,682,SPACE1-1,22.206,21.78,19.35,21.0,True,-0.085,5.15,False
44,1,682,SPACE2-1,23.899,24.762,14.94,21.0,True,0.37,7.85,False
44,1,682,SPACE3-1,21.048,20.334,20.78,21.0,True,-0.346,7.48,False
44,1,682,SPACE4-1,21.0,20.478,16.61,21.0,True,-0.36,7.69,False
44,1,682,SPACE5-1,23.028,21.9,23.86,21.0,True,0.043,5.04,False
45,1,690,SPACE1-1,22.392,22.036,19.49,21.0,True,-0.039,5.03,False
45,1,690,SPACE2-1,23.899,24.674,14.97,21.0,True,0.361,7.71,False
45,1,690,SPACE3-1,21.028,20.429,20.98,21.0,True,-0.337,7.36,False
45,1,690,SPACE4-1,21.001,20.562,16.73,21.0,True,-0.35,7.56,False
45,1,690,SPACE5-1,23.051,21.978,24.25,21.0,True,0.056,5.06,False
46,1,705,SPACE1-1,22.569,22.288,19.55,21.0,True,0.006,5.0,False
46,1,705,SPACE2-1,23.899,24.575,15.1,21.0,True,0.352,7.58,False
46,1,705,SPACE3-1,21.051,20.526,21.06,21.0,True,-0.325,7.19,False
46,1,705,SPACE4-1,20.999,20.66,16.82,21.0,True,-0.34,7.41,False
46,1,705,SPACE5-1,23.063,22.029,24.59,21.0,True,0.064,5.09,False
47,1,720,SPACE1-1,22.739,22.439,19.58,21.0,True,0.039,5.03,False
47,1,720,SPACE2-1,23.899,24.36,15.41,21.0,True,0.332,7.29,False
47,1,720,SPACE3-1,21.125,20.601,21.05,21.0,True,-0.309,6.99,False
47,1,720,SPACE4-1,21.0,20.734,16.93,21.0,True,-0.332,7.3,False
47,1,720,SPACE5-1,23.113,22.086,24.76,21.0,True,0.077,5.12,False
48,1,735,SPACE1-1,22.834,22.469,19.75,21.0,True,0.054,5.06,False
48,1,735,SPACE2-1,23.757,24.066,15.95,21.0,True,0.29,6.75,False
48,1,735,SPACE3-1,21.206,20.668,21.09,21.0,True,-0.294,6.79,False
48,1,735,SPACE4-1,21.0,20.791,17.14,21.0,True,-0.326,7.2,False
48,1,735,SPACE5-1,23.178,22.134,24.92,21.0,True,0.09,5.17,False
49,1,758,SPACE1-1,22.651,22.417,19.52,21.0,True,0.027,5.02,False
49,1,758,SPACE2-1,23.346,23.719,15.97,21.0,True,0.211,5.93,False
49,1,758,SPACE3-1,21.052,20.663,20.79,21.0,True,-0.312,7.03,False
49,1,758,SPACE4-1,21.0,20.776,16.7,21.0,True,-0.329,7.26,False
49,1,758,SPACE5-1,23.026,22.121,24.64,21.0,True,0.07,5.1,False
50,1,772,SPACE1-1,22.42,22.235,19.08,21.0,True,-0.018,5.01,False
50,1,772,SPACE2-1,22.919,23.312,15.75,21.0,True,0.123,5.31,False
50,1,772,SPACE3-1,21.002,20.647,20.11,21.0,True,-0.323,7.17,False
50,1,772,SPACE4-1,21.001,20.789,16.31,21.0,True,-0.33,7.27,False
50,1,772,SPACE5-1,22.887,22.078,23.96,21.0,True,0.046,5.04,False
51,1,788,SPACE1-1,22.313,22.144,18.71,21.0,True,-0.041,5.04,False
51,1,788,SPACE2-1,22.63,22.981,15.73,21.0,True,0.059,5.07,False
51,1,788,SPACE3-1,21.001,20.653,19.66,21.0,True,-0.325,7.2,False
51,1,788,SPACE4-1,21.001,20.803,16.22,21.0,True,-0.329,7.25,False
51,1,788,SPACE5-1,22.862,22.054,23.32,21.0,True,0.037,5.03,False
52,1,795,SPACE1-1,22.25,22.069,18.52,21.0,True,-0.057,5.07,False
52,1,795,SPACE2-1,22.379,22.687,15.81,21.0,True,0.003,5.0,False
52,1,795,SPACE3-1,21.001,20.661,19.43,21.0,True,-0.326,7.2,False
52,1,795,SPACE4-1,21.001,20.816,16.25,21.0,True,-0.328,7.23,False
52,1,795,SPACE5-1,22.862,22.04,22.92,21.0,True,0.033,5.02,False
53,1,810,SPACE1-1,22.371,21.983,18.8,21.0,True,-0.051,5.05,False
53,1,810,SPACE2-1,22.34,22.464,16.4,21.0,True,-0.02,5.01,False
53,1,810,SPACE3-1,21.203,20.722,19.59,21.0,True,-0.297,6.83,False
53,1,810,SPACE4-1,21.0,20.875,16.88,21.0,True,-0.319,7.11,False
53,1,810,SPACE5-1,23.075,22.088,22.86,21.0,True,0.061,5.08,False
54,1,825,SPACE1-1,22.464,21.948,19.46,21.0,True,-0.04,5.03,False
54,1,825,SPACE2-1,22.29,22.286,17.21,21.0,True,-0.038,5.03,False
54,1,825,SPACE3-1,21.394,20.786,20.11,21.0,True,-0.267,6.48,False
